Categoria,Avaliacao,Faturamento,Frete,Peso,Frete por grama
Kitchen dining laundry garden furniture,2.0,684.79,179.69,35850.0,0.0050122733612273365
Kitchen dining laundry garden furniture,3.0,7044.45,1776.28,362230.0,0.004903735195870027
Kitchen dining laundry garden furniture,4.0,10001.04,2630.4,617335.0,0.004260895623931901
Kitchen dining laundry garden furniture,5.0,22198.82,5626.78,1102961.0,0.005101522175308102
La cuisine,1.0,304.0,64.93,5350.0,0.012136448598130843
La cuisine,4.0,389.0,37.7,12500.0,0.003016
La cuisine,5.0,1224.99,230.81,32300.0,0.007145820433436533
Luggage accessories,1.0,10409.05,2540.96,481070.0,0.005281892448084478
Luggage accessories,2.0,3789.05,838.06,148065.0,0.005660081720865836
Luggage accessories,3.0,7000.58,1788.5,321850.0,0.005556936461084356
Luggage accessories,4.0,26373.11,5733.35,1305778.0,0.0043907540179111615
Luggage accessories,5.0,92273.41,19411.85,4012141.0,0.004838277119373421
Market place,1.0,3436.92,622.16,48705.0,0.0127740478390309
Market place,2.0,498.45,110.53999999999999,7100.0,0.015569014084507041
Market place,3.0,3581.4900000000002,546.38,40775.0,0.013399877375843042
Market place,4.0,6555.51,1372.15,66545.0,0.0206198812833421
Market place,5.0,14240.81,2772.94,184587.0,0.015022401360875902
Music,1.0,307.67,64.52,2500.0,0.025807999999999998
Music,3.0,894.1,72.26,11750.0,0.006149787234042554
Music,4.0,890.33,126.71000000000001,12583.0,0.01006993562743384
Music,5.0,3942.25,427.02000000000004,37315.0,0.01144365536647461
Musical instruments,1.0,21906.52,2264.66,273772.0,0.00827206580658358
Musical instruments,2.0,5311.9800000000005,575.16,75925.0,0.007575370431346724
Musical instruments,3.0,10027.05,1041.33,126198.0,0.008251557076974277
Musical instruments,4.0,39799.15,3680.72,451459.0,0.008152944121171578
Musical instruments,5.0,111806.86,10930.55,1164071.0,0.009389934119138781
Office furniture,1.0,56599.56,14467.76,4262606.0,0.0033941114895441895
Office furniture,2.0,12175.27,3748.04,980020.0,0.0038244525621926083
Office furniture,3.0,38547.270000000004,10157.34,2809433.0,0.003615441265194792
Office furniture,4.0,59185.58,13949.35,4217581.0,0.003307429068937858
Office furniture,5.0,104568.35,25546.24,6821770.0,0.003744811097413135
Party supplies,1.0,775.39,140.99,7750.0,0.01819225806451613
Party supplies,2.0,217.8,35.879999999999995,1450.0,0.024744827586206893
Party supplies,3.0,308.6,64.5,3800.0,0.016973684210526314
Party supplies,4.0,962.5,95.42,34400.0,0.002773837209302326
Party supplies,5.0,2220.89,491.18,38500.0,0.012757922077922078
Perfumery,1.0,38476.21,6200.12,159024.0,0.03898858034007446
Perfumery,2.0,10665.87,1615.51,36112.0,0.04473609880372176
Perfumery,3.0,23730.42,3574.41,103761.0,0.03444849220805505
Perfumery,4.0,60498.83,8441.86,243363.0,0.034688346215324434
Perfumery,5.0,264118.67,34140.02,1092819.0,0.031240324335502948
Pet shop,1.0,18767.03,4121.74,676399.0,0.006093651823849532
Pet shop,2.0,4941.3,982.6999999999999,105266.0,0.009335397944255504
Pet shop,3.0,15773.51,3312.75,542377.0,0.006107836431117101
Pet shop,4.0,37012.090000000004,6774.86,1039765.0,0.006515760772866946
Pet shop,5.0,136752.99,24130.74,3261896.0,0.007397764980857759
Security and services,1.0,100.0,15.45,400.0,0.038625
Security and services,4.0,183.29,25.77,1225.0,0.02103673469387755
Signaling and security,1.0,2575.18,665.94,128337.0,0.005188994600154282
Signaling and security,2.0,188.0,46.410000000000004,4250.0,0.010920000000000001
Signaling and security,3.0,5630.24,792.79,58683.0,0.01350970468449125
Signaling and security,4.0,2880.79,816.91,139715.0,0.005846974197473428
Signaling and security,5.0,10064.74,4157.47,440923.0,0.009429015950630837
Small appliances,1.0,21710.22,1860.04,229110.0,0.00811854567674916
Small appliances,2.0,6626.719999999999,798.77,129425.0,0.006171682441568476
Small appliances,3.0,12667.56,890.84,98272.0,0.009065043959622274
Small appliances,4.0,43264.88,3189.27,419392.0,0.007604508431252861
Small appliances,5.0,104401.9,9158.14,1137347.0,0.008052195152402917
Small appliances home oven and coffee,1.0,4084.85,219.95000000000002,41350.0,0.005319226118500605
Small appliances home oven and coffee,2.0,579.0,35.45,14100.0,0.0025141843971631206
Small appliances home oven and coffee,3.0,2316.9,205.29000000000002,27550.0,0.007451542649727768
Small appliances home oven and coffee,4.0,9704.12,448.45,62992.0,0.007119157988315976
Small appliances home oven and coffee,5.0,30760.84,1838.72,239700.0,0.007670921985815603
Sports leisure,1.0,128980.71,22059.59,2191757.0,0.010064797329265972
Sports leisure,2.0,31337.82,5294.19,476419.0,0.011112466127505409
Sports leisure,3.0,66286.96,12239.54,1066974.0,0.011471263592177504
Sports leisure,4.0,187523.61000000002,31145.34,2660904.0,0.011704796565377781
Sports leisure,5.0,567112.28,96641.74,8565894.0,0.011282154553862096
Stationery,1.0,24519.26,4676.73,598165.0,0.007818461461302483
Stationery,2.0,6394.04,1519.42,208263.0,0.00729567902123757
Stationery,3.0,13677.01,2869.28,564015.0,0.005087240587573026
Stationery,4.0,43446.85,9524.86,1490977.0,0.006388334628904403
Stationery,5.0,141441.64,27864.31,3997800.0,0.006969910951023063
Tablets printing image,1.0,343.7,87.47,1332.0,0.06566816816816817
Tablets printing image,2.0,439.8,92.19,1683.0,0.054777183600713014
Tablets printing image,3.0,509.9,112.7,1633.0,0.06901408450704226
Tablets printing image,4.0,1548.27,302.14,6230.0,0.0484975922953451
Tablets printing image,5.0,3666.76,594.1,12961.0,0.04583751253761284
Telephony,1.0,45091.15,9172.98,149133.0,0.06150872040393474
Telephony,2.0,13429.72,2931.88,47898.0,0.061210906509666374
Telephony,3.0,30431.25,7280.71,113700.0,0.06403438874230431
Telephony,4.0,73715.94,15581.9,262759.0,0.05930110862044687
Telephony,5.0,157271.14,35776.02,607860.0,0.05885569045503898
Toys,1.0,53156.59,8586.49,876211.0,0.00979956882531719
Toys,2.0,11121.87,2046.46,208339.0,0.009822740821449657
Toys,3.0,31642.94,5731.08,545630.0,0.010503601341568462
Toys,4.0,80681.97,13512.88,1319427.0,0.010241476034672627
Toys,5.0,302275.43,46969.93,4633549.0,0.010136923123074775
Watches gifts,1.0,150776.44,12763.07,457998.0,0.02786708675583736
Watches gifts,2.0,34718.57,3566.36,136041.0,0.02621533214251586
Watches gifts,3.0,90662.09,9253.85,298175.0,0.03103496268969565
Watches gifts,4.0,214284.32,19160.55,717986.0,0.026686523135548604
Watches gifts,5.0,706054.41,54944.78,1843463.0,0.02980519815152243
