Categoria,Faturamento,Frete,Avaliacao
Office furniture,38547.27,10157.34,3.0
Office furniture,59185.58,13949.35,4.0
Office furniture,104568.35,25546.24,5.0
Party supplies,775.39,140.99,1.0
Party supplies,217.8,35.879999999999995,2.0
Party supplies,308.6,64.5,3.0
Party supplies,962.5,95.42,4.0
Party supplies,2220.89,491.18,5.0
Perfumery,38476.21,6200.12,1.0
Perfumery,10665.87,1615.51,2.0
Perfumery,23730.42,3574.41,3.0
Perfumery,60498.83,8441.86,4.0
Perfumery,264118.67,34140.02,5.0
Pet shop,18767.03,4121.74,1.0
Pet shop,4941.3,982.7,2.0
Pet shop,15773.51,3312.75,3.0
Pet shop,37012.09,6774.86,4.0
Pet shop,136752.99,24130.74,5.0
Security and services,100.0,15.45,1.0
Security and services,183.29,25.77,4.0
Signaling and security,2575.18,665.94,1.0
Signaling and security,188.0,46.41,2.0
Signaling and security,5630.24,792.79,3.0
Signaling and security,2880.79,816.91,4.0
Signaling and security,10064.74,4157.47,5.0
Small appliances,21710.22,1860.04,1.0
Small appliances,6626.719999999999,798.77,2.0
Small appliances,12667.56,890.84,3.0
Small appliances,43264.88,3189.27,4.0
Small appliances,104401.9,9158.14,5.0
Small appliances home oven and coffee,4084.85,219.95,1.0
Small appliances home oven and coffee,579.0,35.45,2.0
Small appliances home oven and coffee,2316.9,205.29,3.0
Small appliances home oven and coffee,9704.12,448.45,4.0
Small appliances home oven and coffee,30760.84,1838.72,5.0
Sports leisure,128980.71,22059.59,1.0
Sports leisure,31337.82,5294.19,2.0
Sports leisure,66286.96,12239.54,3.0
Sports leisure,187523.61,31145.34,4.0
Sports leisure,567112.28,96641.74,5.0
Stationery,24519.26,4676.73,1.0
Stationery,6394.04,1519.42,2.0
Stationery,13677.01,2869.28,3.0
Stationery,43446.85,9524.86,4.0
Stationery,141441.64,27864.31,5.0
Tablets printing image,343.7,87.47,1.0
Tablets printing image,439.8,92.19,2.0
Tablets printing image,509.9,112.7,3.0
Tablets printing image,1548.27,302.14,4.0
Tablets printing image,3666.76,594.1,5.0
Telephony,45091.15,9172.98,1.0
Telephony,13429.72,2931.88,2.0
Telephony,30431.25,7280.71,3.0
Telephony,73715.94,15581.9,4.0
Telephony,157271.14,35776.02,5.0
Toys,53156.59,8586.49,1.0
Toys,11121.87,2046.46,2.0
Toys,31642.94,5731.08,3.0
Toys,80681.97,13512.88,4.0
Toys,302275.43,46969.93,5.0
Watches gifts,150776.44,12763.07,1.0
Watches gifts,34718.57,3566.36,2.0
Watches gifts,90662.09,9253.85,3.0
Watches gifts,214284.32,19160.55,4.0
Watches gifts,706054.41,54944.78,5.0
